date	SP500	SPDIV	USRF	AAPL	FRCB	PG	USDMXN
31/08/1970	77.92	3.18667	6.41				
30/09/1970	82.58	3.19	6.12				
31/10/1970	84.37	3.17333	5.91				
30/11/1970	84.28	3.15667	5.28				
31/12/1970	90.05	3.14	4.87				
31/01/1971	93.49	3.13	4.44				
28/02/1971	97.11	3.12	3.7				
31/03/1971	99.6	3.11	3.38				
30/04/1971	103	3.10667	3.86				
31/05/1971	101.6	3.10333	4.14				
30/06/1971	99.72	3.1	4.75				
31/07/1971	99	3.09667	5.4				
31/08/1971	97.24	3.09333	4.94				
30/09/1971	99.4	3.09	4.69				
31/10/1971	97.29	3.08333	4.46				
30/11/1971	92.78	3.07667	4.22				
31/12/1971	99.17	3.07	4.01				
31/01/1972	103.3	3.07	3.38				
29/02/1972	105.2	3.07	3.2				
31/03/1972	107.7	3.07	3.73				
30/04/1972	108.8	3.07	3.71				
31/05/1972	107.7	3.07	3.69				
30/06/1972	108	3.07	3.91				
31/07/1972	107.2	3.07333	3.98				
31/08/1972	111	3.07667	4.02				
30/09/1972	109.4	3.08	4.66				
31/10/1972	109.6	3.10333	4.74				
30/11/1972	115.1	3.12667	4.78				
31/12/1972	117.5	3.15	5.07				
31/01/1973	118.4	3.15667	5.41				
28/02/1973	114.2	3.16333	5.6				
31/03/1973	112.4	3.17	6.09				
30/04/1973	110.3	3.18667	6.26				
31/05/1973	107.2	3.20333	6.36				
30/06/1973	104.8	3.22	7.19				
31/07/1973	105.8	3.23667	8.01				
31/08/1973	103.8	3.25333	8.67				
30/09/1973	105.6	3.27	8.29				
31/10/1973	109.8	3.30667	7.22				
30/11/1973	102	3.34333	7.83				
31/12/1973	94.78	3.38	7.45				
31/01/1974	96.11	3.4	7.77				
28/02/1974	93.45	3.42	7.12				
31/03/1974	97.44	3.44	7.96				
30/04/1974	92.46	3.46	8.33				
31/05/1974	89.67	3.48	8.23				
30/06/1974	89.79	3.5	7.9				
31/07/1974	79.31	3.53	7.55				
31/08/1974	76.03	3.56	8.96				
30/09/1974	68.12	3.59	8.06				
31/10/1974	69.44	3.59333	7.46				
30/11/1974	71.74	3.59667	7.47				
31/12/1974	67.07	3.6	7.15				
31/01/1975	72.56	3.62333	6.26				
28/02/1975	80.1	3.64667	5.5				
31/03/1975	83.78	3.67	5.49				
30/04/1975	84.72	3.68333	5.61				
31/05/1975	90.1	3.69667	5.23				
30/06/1975	92.4	3.71	5.34				
31/07/1975	92.49	3.71	6.13				
31/08/1975	85.71	3.71	6.44				
30/09/1975	84.67	3.71	6.42				
31/10/1975	88.57	3.7	5.96				
30/11/1975	90.07	3.69	5.48				
31/12/1975	88.7	3.68	5.44				
31/01/1976	96.86	3.68333	4.87				
29/02/1976	100.6	3.68667	4.88				
31/03/1976	101.1	3.69	5				
30/04/1976	101.9	3.71333	4.86				
31/05/1976	101.2	3.73667	5.2				
30/06/1976	101.8	3.76	5.41				
31/07/1976	104.2	3.79	5.23				
31/08/1976	103.3	3.82	5.14				
30/09/1976	105.5	3.85	5.08				
31/10/1976	101.9	3.91667	4.92				
30/11/1976	101.2	3.98333	4.75				
31/12/1976	104.7	4.05	4.35				
31/01/1977	103.8	4.09667	4.62				
28/02/1977	101	4.14333	4.67				
31/03/1977	100.6	4.19	4.6				
30/04/1977	99.05	4.24667	4.54				
31/05/1977	98.76	4.30333	4.96				
30/06/1977	99.29	4.36	5.02				
31/07/1977	100.2	4.40667	5.19				
31/08/1977	97.75	4.45333	5.49				
30/09/1977	96.23	4.5	5.81				
31/10/1977	93.74	4.55667	6.16				
30/11/1977	94.28	4.61333	6.1				
31/12/1977	93.82	4.67	6.07				
31/01/1978	90.25	4.71333	6.44				
28/02/1978	88.98	4.75667	6.45				
31/03/1978	88.82	4.8	6.29				
30/04/1978	92.71	4.83667	6.29				
31/05/1978	97.41	4.87333	6.41				
30/06/1978	97.66	4.91	6.73				
31/07/1978	97.19	4.94667	7.01				
31/08/1978	103.9	4.98333	7.08				
30/09/1978	103.9	5.02	7.85				
31/10/1978	100.6	5.03667	7.99				
30/11/1978	94.71	5.05333	8.64				
31/12/1978	96.11	5.07	9.08				
31/01/1979	99.71	5.11333	9.35				
28/02/1979	98.23	5.15667	9.32				
31/03/1979	100.1	5.2	9.48				
30/04/1979	102.1	5.24667	9.46				
31/05/1979	99.73	5.29333	9.61				
30/06/1979	101.7	5.34	9.06				
31/07/1979	102.7	5.39667	9.24				
31/08/1979	107.4	5.45333	9.52				
30/09/1979	108.6	5.51	10.26				
31/10/1979	104.5	5.55667	11.7				
30/11/1979	103.7	5.60333	11.79				
31/12/1979	107.8	5.65	12.04				
31/01/1980	110.9	5.7	12				
29/02/1980	115.3	5.75	12.86				
31/03/1980	104.7	5.8	15.2				
30/04/1980	103	5.84667	13.2				
31/05/1980	107.7	5.89333	8.58				
30/06/1980	114.6	5.94	7.07				
31/07/1980	119.8	5.98333	8.06				
31/08/1980	123.5	6.02667	9.13				
30/09/1980	126.5	6.07	10.27				
31/10/1980	130.2	6.1	11.62				
30/11/1980	135.7	6.13	13.73				
31/12/1980	133.5	6.16	15.49			2.1523	0.0232
31/01/1981	133	6.2	15.02			2.0938	0.0234
28/02/1981	128.4	6.24	14.79			2.2305	0.0236
31/03/1981	133.2	6.28	13.36			2.2031	0.0238
30/04/1981	134.4	6.31667	13.69			2.2422	0.024
31/05/1981	131.7	6.35333	16.3			2.2031	0.0242
30/06/1981	132.3	6.39	14.73			2.3672	0.0245
31/07/1981	129.1	6.43333	14.95			2.2695	0.0247
31/08/1981	129.6	6.47667	15.51			2.168	0.025
30/09/1981	118.3	6.52	14.7			2.3047	0.0252
31/10/1981	119.8	6.55667	13.54			2.4453	0.0256
30/11/1981	122.9	6.59333	10.86			2.5078	0.0259
31/12/1981	123.8	6.63	10.85			2.5117	0.0264
31/01/1982	117.3	6.66	12.28			2.6641	0.0267
28/02/1982	114.5	6.69	13.48			2.6016	0.0445
31/03/1982	110.8	6.72	12.68			2.5859	0.0456
30/04/1982	116.3	6.75	12.7			2.6758	0.0467
31/05/1982	116.4	6.78	12.09			2.6211	0.0474
30/06/1982	109.7	6.81	12.47			2.5938	0.0481
31/07/1982	109.4	6.82333	11.35			2.6602	0.0491
31/08/1982	109.7	6.83667	8.68			2.9727	0.0498
30/09/1982	122.4	6.85	7.92			3.0625	0.1
31/10/1982	132.7	6.85667	7.71			3.3164	0.05
30/11/1982	138.1	6.86333	8.07	0.142		3.7148	0.05
31/12/1982	139.4	6.87	7.94	0.133		3.6953	0.0965
31/01/1983	144.3	6.88333	7.86	0.182		3.5156	0.1489
28/02/1983	146.8	6.89667	8.11	0.204		3.5703	0.17
31/03/1983	151.9	6.91	8.35	0.189		3.7969	0.156
30/04/1983	157.7	6.92	8.21	0.225		3.7578	0.1518
31/05/1983	164.1	6.93	8.19	0.258		3.3672	0.1498
30/06/1983	166.4	6.94	8.79	0.218		3.4453	0.1491
31/07/1983	167	6.96	9.08	0.156		3.2344	0.1498
31/08/1983	162.4	6.98	9.34	0.166		3.3438	0.1555
30/09/1983	167.2	7	9	0.103		3.4766	0.156
31/10/1983	167.7	7.03	8.64	0.101		3.4688	0.1603
30/11/1983	165.2	7.06	8.76	0.091		3.7031	0.164
31/12/1983	164.4	7.09	9	0.109		3.5547	0.169
31/01/1984	166.4	7.12	8.9	0.11		3.1563	0.1665
29/02/1984	157.3	7.15	9.09	0.117		2.9453	0.171
31/03/1984	157.4	7.18	9.52	0.11		3.0156	0.1763
30/04/1984	157.6	7.22333	9.69	0.14		2.9609	0.181
31/05/1984	156.6	7.26667	9.83	0.131		3.0781	0.2045
30/06/1984	153.1	7.31	9.87	0.118		3.2734	0.203
31/07/1984	151.1	7.33333	10.12	0.114		3.2891	0.1963
31/08/1984	164.4	7.35667	10.47	0.118		3.5	0.196
30/09/1984	166.1	7.38	10.37	0.112		3.4922	0.1995
31/10/1984	164.8	7.43	9.74	0.111		3.625	0.2095
30/11/1984	166.3	7.48	8.61	0.11		3.6094	0.2131
31/12/1984	164.5	7.53	8.06	0.13		3.5625	0.227
31/01/1985	171.6	7.57333	7.76	0.129		3.5156	0.231
28/02/1985	180.9	7.61667	8.27	0.11		3.5547	0.241
31/03/1985	179.4	7.66	8.52	0.099		3.4688	0.2465
30/04/1985	180.6	7.68667	7.95	0.095		3.2578	0.2485
31/05/1985	184.9	7.71333	7.48	0.078		3.3672	0.281
30/06/1985	188.9	7.74	6.95	0.08		3.5156	0.345
31/07/1985	192.5	7.77333	7.08	0.071		3.5781	0.354
31/08/1985	188.3	7.80667	7.14	0.067		3.5938	0.338
30/09/1985	184.1	7.84	7.1	0.07		3.5234	0.373
31/10/1985	186.2	7.86	7.16	0.083		3.9609	0.481
30/11/1985	197.5	7.88	7.24	0.09		4.1953	0.3412
31/12/1985	207.3	7.9	7.1	0.098		4.3594	0.3717
31/01/1986	208.2	7.94	7.07	0.103		4.1172	0.4052
28/02/1986	219.4	7.98	7.06	0.112		4.3125	0.4397
31/03/1986	232.3	8.02	6.56	0.126		4.6016	0.4736
30/04/1986	238	8.04667	6.06	0.135		4.5938	0.504
31/05/1986	238.5	8.07333	6.15	0.165		4.8672	0.5377
30/06/1986	245.3	8.1	6.21	0.16		5.0078	0.5754
31/07/1986	240.2	8.14333	5.83	0.14		4.8359	0.6329
31/08/1986	245	8.18667	5.53	0.165		5	0.6962
30/09/1986	238.3	8.23	5.21	0.15		4.2344	0.752
31/10/1986	237.4	8.24667	5.18	0.155		4.6875	0.8066
30/11/1986	245.1	8.26333	5.35	0.179		4.8594	0.8631
31/12/1986	248.6	8.28	5.53	0.181		4.7734	0.9235
31/01/1987	264.5	8.3	5.43	0.248		5.5	0.9881
28/02/1987	280.9	8.32	5.59	0.313		5.4219	1.0573
31/03/1987	292.5	8.34	5.59	0.288		5.75	1.126
30/04/1987	289.3	8.4	5.64	0.354		5.2969	1.1992
31/05/1987	289.1	8.46	5.66	0.353		5.7188	1.2771
30/06/1987	301.4	8.52	5.67	0.362		6.125	1.3537
31/07/1987	310.1	8.56667	5.69	0.368		5.8203	1.4159
31/08/1987	329.4	8.61333	6.04	0.482		6.4297	1.496
30/09/1987	318.7	8.66	6.4	0.504		6.3125	1.574
31/10/1987	280.2	8.71	6.13	0.345		5.5156	1.6522
30/11/1987	245	8.76	5.69	0.295		5.0859	1.7632
31/12/1987	241	8.81	5.77	0.375		5.3359	2.2097
31/01/1988	250.5	8.85667	5.81	0.371		5.3047	2.2207
29/02/1988	258.1	8.90333	5.66	0.384		5.25	2.281
31/03/1988	265.7	8.95	5.7	0.357		4.8672	2.281
30/04/1988	262.6	9.04333	5.91	0.366		4.8203	2.281
31/05/1988	256.1	9.13667	6.26	0.373		4.7813	2.281
30/06/1988	270.7	9.23	6.46	0.414		4.8438	2.281
31/07/1988	269.1	9.30667	6.73	0.396		4.6953	2.281
31/08/1988	263.7	9.38333	7.06	0.356		4.6641	2.281
30/09/1988	268	9.46	7.24	0.386		5	2.281
31/10/1988	277.4	9.55	7.35	0.345		5.1641	2.281
30/11/1988	271	9.64	7.76	0.336		5.1172	2.281
31/12/1988	276.5	9.75	8.07	0.359		5.4375	2.281
31/01/1989	285.4	9.81333	8.27	0.337		5.7578	2.31
28/02/1989	294	9.89667	8.53	0.324		5.5391	2.475
31/03/1989	292.7	10.01	8.82	0.318		5.7813	2.475
30/04/1989	302.3	10.0867	8.65	0.348		5.9766	2.475
31/05/1989	313.9	10.1933	8.43	0.424		6.4219	2.475
30/06/1989	323.7	10.37	8.15	0.371		6.7734	2.475
31/07/1989	331.9	10.4233	7.88	0.349		7.4609	2.5
31/08/1989	346.6	10.5467	7.9	0.397		8.0313	2.569
30/09/1989	347.3	10.73	7.75	0.397		7.5	2.5887
31/10/1989	347.4	10.7967	7.64	0.415		8.0703	2.55
30/11/1989	340.2	10.9233	7.69	0.395		8.0938	2.55
31/12/1989	348.6	11.06	7.63	0.315		8.7813	2.6835
31/01/1990	339.97	11.14	7.64	0.304		8	2.71
28/02/1990	330.45	11.23	7.74	0.304		7.9844	2.745
31/03/1990	338.46	11.32	7.9	0.359		8.4688	2.764
30/04/1990	338.18	11.4367	7.77	0.352		8.8281	2.8
31/05/1990	350.25	11.5533	7.74	0.368		10.3125	2.833
30/06/1990	360.39	11.66	7.73	0.4		10.8906	2.849
31/07/1990	360.03	11.7267	7.62	0.375		10.8438	2.865
31/08/1990	330.75	11.7833	7.45	0.33		9.625	2.883
30/09/1990	315.41	11.83	7.36	0.259		9.1094	2.892
31/10/1990	307.12	11.9267	7.17	0.275		9.8281	2.921
30/11/1990	315.29	12.0133	7.06	0.328		10.3594	2.933
31/12/1990	328.75	12.09	6.74	0.384		10.8281	2.948
31/01/1991	325.49	12.1067	6.22	0.496		9.9063	2.945
28/02/1991	362.26	12.1133	5.94	0.511		10.1563	2.9685
31/03/1991	372.28	12.11	5.91	0.607		10.6406	2.98
30/04/1991	379.68	12.13	5.65	0.491		10.4844	2.998
31/05/1991	377.99	12.14	5.46	0.42		10.6406	3
30/06/1991	378.29	12.15	5.57	0.371		9.6719	3.019
31/07/1991	380.23	12.1933	5.58	0.413		10.0938	3.0345
31/08/1991	389.4	12.2367	5.33	0.473		10.4375	3.047
30/09/1991	387.2	12.28	5.22	0.442		10.6094	3.0585
31/10/1991	386.88	12.2533	4.99	0.46		10.4531	3.0717
30/11/1991	385.92	12.2267	4.56	0.453		10.125	3.08
31/12/1991	388.51	12.2	4.07	0.504		11.7344	3.066
31/01/1992	416.08	12.24	3.8	0.578		12.9688	3.0645
29/02/1992	412.56	12.28	3.84	0.603		12.7031	3.0605
31/03/1992	407.36	12.32	4.04	0.52		12.7813	3.061
30/04/1992	407.41	12.32	3.75	0.537		12.9063	3.08
31/05/1992	414.81	12.32	3.63	0.533		12.8438	3.1148
30/06/1992	408.27	12.32	3.66	0.429		11.5	3.1228
31/07/1992	415.05	12.3433	3.21	0.417		12.6563	3.112
31/08/1992	417.93	12.3667	3.13	0.411		11.7188	3.0748
30/09/1992	418.48	12.4	2.91	0.403		12.3438	3.11
31/10/1992	412.5	12.3867	2.86	0.469		13.2188	3.124
30/11/1992	422.84	12.3833	3.13	0.513		13.5625	3.113
31/12/1992	435.64	12.39	3.22	0.533		13.4063	3.121
31/01/1993	435.23	12.4133	3	0.531		12.4375	3.11
28/02/1993	441.7	12.4467	2.93	0.473		13	3.094
31/03/1993	450.16	12.48	2.95	0.46		12.4688	3.094
30/04/1993	443.08	12.4933	2.87	0.458		12.2813	3.117
31/05/1993	445.25	12.5067	2.96	0.506		12.2813	3.1185
30/06/1993	448.06	12.52	3.07	0.353		13	3.13
31/07/1993	447.29	12.52	3.04	0.248		12.1875	3.117
31/08/1993	454.13	12.52	3.02	0.237		12.0938	3.113
30/09/1993	459.24	12.52	2.95	0.209		11.875	3.119
31/10/1993	463.9	12.54	3.02	0.275		13.5625	3.131
30/11/1993	462.89	12.56	3.1	0.281		14.1875	3.1055
31/12/1993	465.95	12.58	3.06	0.261		14.25	3.107
31/01/1994	472.99	12.6233	2.98	0.292		14.875	3.106
28/02/1994	471.58	12.6667	3.25	0.326		14.375	3.185
31/03/1994	463.81	12.71	3.5	0.297		13.375	3.365
30/04/1994	447.23	12.7533	3.68	0.268		14.2188	3.27
31/05/1994	450.9	12.7967	4.14	0.261		14.0938	3.3275
30/06/1994	454.83	12.84	4.14	0.237		13.3438	3.393
31/07/1994	451.4	12.87	4.33	0.301		13.9375	3.4
31/08/1994	464.24	12.9	4.48	0.323		15.2188	3.3875
30/09/1994	466.96	12.92	4.62	0.301		14.9063	3.3955
31/10/1994	463.81	13.0133	4.95	0.386		15.7188	3.4365
30/11/1994	461.01	13.0967	5.29	0.333		15.625	3.4405
31/12/1994	455.19	13.17	5.6	0.346		15.5	5.075
31/01/1995	465.25	13.18	5.71	0.36		16.2813	5.75
28/02/1995	481.92	13.18	5.77	0.353		16.625	5.975
31/03/1995	493.15	13.17	5.73	0.315		16.5625	6.755
30/04/1995	507.91	13.2433	5.65	0.342		17.4688	5.925
31/05/1995	523.81	13.3067	5.67	0.371		17.9688	6.175
30/06/1995	539.35	13.36	5.47	0.415		17.9688	6.24
31/07/1995	557.37	13.44	5.42	0.402		17.2188	6.115
31/08/1995	559.11	13.51	5.4	0.384		17.3438	6.265
30/09/1995	578.77	13.58	5.28	0.333		19.25	6.385
31/10/1995	582.92	13.65	5.28	0.324		20.25	7.075
30/11/1995	595.53	13.72	5.36	0.34		21.625	7.525
31/12/1995	614.57	13.79	5.14	0.285		20.75	7.695
31/01/1996	614.42	13.8933	5	0.247		21	7.365
29/02/1996	649.54	13.9967	4.83	0.246		20.5	7.6
31/03/1996	647.07	14.1	4.96	0.219		21.1875	7.525
30/04/1996	647.17	14.1567	4.95	0.218		21.125	7.4075
31/05/1996	661.23	14.2133	5.02	0.233		21.9688	7.445
30/06/1996	668.5	14.27	5.09	0.188		22.6563	7.5825
31/07/1996	644.07	14.4	5.15	0.196		22.3125	7.577
31/08/1996	662.68	14.53	5.05	0.217		22.2188	7.578
30/09/1996	674.88	14.66	5.09	0.198		24.375	7.537
31/10/1996	701.46	14.74	4.99	0.205		24.75	7.97
30/11/1996	735.67	14.82	5.03	0.215		27.1875	7.888
31/12/1996	743.25	14.9	4.91	0.186		26.9063	7.89
31/01/1997	766.22	14.9533	5.03	0.148		28.9063	7.817
28/02/1997	798.39	15.0067	5.01	0.145		30.0313	7.945
31/03/1997	792.16	15.06	5.14	0.163		28.6875	7.91
30/04/1997	763.93	15.0933	5.16	0.152		31.4375	7.948
31/05/1997	833.09	15.1267	5.05	0.148		34.4688	7.917
30/06/1997	876.29	15.16	4.93	0.127		35.3125	7.931
31/07/1997	925.29	15.2167	5.05	0.156		38.0313	7.815
31/08/1997	927.24	15.2733	5.14	0.194		33.2813	7.815
30/09/1997	937.02	15.33	4.95	0.194		34.5313	7.766
31/10/1997	951.16	15.3867	4.97	0.152		34	8.405
30/11/1997	938.92	15.4433	5.14	0.158		38.0938	8.205
31/12/1997	962.37	15.5	5.16	0.117		39.9063	8.055
31/01/1998	963.36	15.55	5.04	0.164		39.1875	8.45
28/02/1998	1023.74	15.6	5.09	0.211		42.4375	8.61
31/03/1998	1076.83	15.64	5.03	0.246		42.1875	8.52
30/04/1998	1112.2	15.75	4.95	0.244		41.0938	8.49
31/05/1998	1108.42	15.85	5	0.238		41.9375	8.855
30/06/1998	1108.39	15.95	4.98	0.256		45.5313	8.958
31/07/1998	1156.58	16.0167	4.96	0.309		39.6875	8.935
31/08/1998	1074.62	16.0833	4.9	0.278		38.25	9.96
30/09/1998	1020.64	16.14	4.61	0.34		35.5625	10.22
31/10/1998	1032.47	16.1667	3.96	0.331		44.3438	10.095
30/11/1998	1144.43	16.1833	4.41	0.285		43.8125	9.985
31/12/1998	1190.05	16.2	4.39	0.366		45.6563	9.897
31/01/1999	1248.77	16.28333333	4.34	0.368		45.4375	10.1675
28/02/1999	1246.58	16.36666667	4.44	0.311		44.75	9.9855
31/03/1999	1281.66	16.45	4.44	0.321		48.9688	9.5619
30/04/1999	1334.76	16.45	4.29	0.411		46.9063	9.2889
31/05/1999	1332.07	16.45	4.5	0.393		46.6875	9.715
30/06/1999	1322.55	16.45	4.57	0.414		44.625	9.355
31/07/1999	1380.99	16.51333333	4.55	0.497		45.2813	9.405
31/08/1999	1327.49	16.57666667	4.72	0.583		49.625	9.355
30/09/1999	1318.17	16.64	4.68	0.565		46.875	9.36
31/10/1999	1300.01	16.65666667	4.86	0.715		52.4375	9.5975
30/11/1999	1391	16.67333333	5.07	0.874		54	9.4375
31/12/1999	1428.68	16.69	5.2	0.918		54.7813	9.505
31/01/2000	1425.59	16.71333333	5.32	0.926		50.5313	9.5925
29/02/2000	1388.87	16.73666667	5.55	1.023		43.9375	9.369
31/03/2000	1442.21	16.76	5.69	1.213		28.375	9.253
30/04/2000	1461.36	16.74	5.66	1.108		29.875	9.3925
31/05/2000	1418.48	16.72	5.79	0.75		33.25	9.507
30/06/2000	1461.96	16.7	5.69	0.935		28.375	9.83
31/07/2000	1473	16.58333333	5.96	0.907		28.5	9.352
31/08/2000	1485.46	16.46666667	6.09	1.088		30.916	9.202
30/09/2000	1468.05	16.35	6	0.46		33.5	9.437
31/10/2000	1390.14	16.32333333	6.11	0.349		35.7188	9.5665
30/11/2000	1378.04	16.29666667	6.17	0.295		37.4375	9.416
31/12/2000	1330.93	16.27	5.77	0.266		39.2188	9.6225
31/01/2001	1335.63	16.17	5.15	0.386		35.92	9.6775
28/02/2001	1305.75	16.07	4.88	0.326		35.25	9.6881
31/03/2001	1185.85	15.97	4.42	0.394		31.3	9.4615
30/04/2001	1189.84	15.87666667	3.87	0.455		30.025	9.239
31/05/2001	1270.37	15.78333333	3.62	0.356		32.12	9.1735
30/06/2001	1238.71	15.69	3.49	0.415		31.9	9.041
31/07/2001	1204.45	15.70666667	3.51	0.336		35.51	9.1415
31/08/2001	1178.5	15.72333333	3.36	0.331		37.075	9.204
30/09/2001	1044.64	15.74	2.64	0.277		36.395	9.514
31/10/2001	1076.59	15.74	2.16	0.314		36.89	9.259
30/11/2001	1129.68	15.74	1.87	0.38		38.73	9.224
31/12/2001	1144.93	15.74	1.69	0.391		39.565	9.1575
31/01/2002	1140.21	15.73666667	1.65	0.441		40.84	9.1475
28/02/2002	1100.67	15.73333333	1.73	0.388		42.395	9.119
31/03/2002	1153.79	15.73	1.79	0.423		45.045	9.035
30/04/2002	1111.93	15.83333333	1.72	0.433		45.13	9.395
31/05/2002	1079.25	15.93666667	1.73	0.416		44.775	9.645
30/06/2002	1014.02	16.04	1.7	0.316		44.65	9.9465
31/07/2002	903.59	15.96	1.68	0.273		44.495	9.8695
31/08/2002	912.55	15.88	1.62	0.263		44.325	9.935
30/09/2002	867.81	15.8	1.63	0.259		44.69	10.2065
31/10/2002	854.63	15.89	1.58	0.287		44.225	10.2025
30/11/2002	909.93	15.98	1.23	0.277		42.265	10.1465
31/12/2002	899.18	16.07	1.19	0.256		42.97	10.37
31/01/2003	895.84	16.12	1.17	0.256		42.785	10.9063
28/02/2003	837.03	16.17	1.17	0.268		40.93	11.016
31/03/2003	846.63	16.22	1.13	0.253		44.525	10.77
30/04/2003	890.03	16.20333333	1.13	0.254		44.925	10.29
31/05/2003	935.96	16.18666667	1.07	0.321		45.91	10.3145
30/06/2003	988	16.17	0.92	0.34		44.59	10.457
31/07/2003	992.54	16.31	0.9	0.376		43.935	10.6028
31/08/2003	989.53	16.45	0.95	0.404		43.645	11.0471
30/09/2003	1019.44	16.59	0.94	0.37		46.41	10.986
31/10/2003	1038.73	16.85666667	0.92	0.409		49.145	11.0175
30/11/2003	1049.9	17.12333333	0.93	0.373		48.12	11.3785
31/12/2003	1080.64	17.39	0.9	0.382		49.94	11.2285
31/01/2004	1132.52	17.6	0.88	0.403		50.54	11.0614
29/02/2004	1143.36	17.81	0.93	0.427		51.255	11.065
31/03/2004	1123.98	18.02	0.94	0.483		52.44	11.1251
30/04/2004	1133.36	18.21333333	0.94	0.46		52.875	11.4198
31/05/2004	1102.78	18.40666667	1.02	0.501		53.91	11.452
30/06/2004	1132.76	18.6	1.27	0.581		54.44	11.4865
31/07/2004	1105.85	18.78666667	1.33	0.578		52.15	11.4152
31/08/2004	1088.94	18.97333333	1.48	0.616		55.97	11.389
30/09/2004	1117.66	19.16	1.65	0.692		54.12	11.382
31/10/2004	1117.21	19.25333333	1.76	0.936		51.18	11.5363
30/11/2004	1168.94	19.34666667	2.07	1.197		53.48	11.224
