date	VIX	rf	SP500	eurusd	FINANC	SPDIV
2002-08-31	32.64	0.135	912.55	0.480769231	233.81	15.88
2002-09-30	39.69	0.135833333	867.81	0.437748142	206.07	15.8
2002-10-31	31.14	0.131666667	854.63	0.37502534	224.19	15.89
2002-11-30	27.5	0.1025	909.93	0.403918005	233.01	15.98
2002-12-31	28.62	0.099166667	899.18	5.521472393	220.08	16.07
2003-01-31	31.17	0.0975	895.84	2.630575677	215.93	16.12
2003-02-28	29.63	0.0975	837.03	0.36218425	208.84	16.17
2003-03-31	29.15	0.094166667	846.63	0.999352272	207.6	16.22
2003-04-30	21.21	0.094166667	890.03	2.464498397	232.62	16.20333333
2003-05-31	19.47	0.089166667	935.96	5.364806867	244.42	16.18666667
2003-06-30	19.52	0.076666667	988	-2.308214528	244.59	16.17
2003-07-31	19.49	0.075	992.54	-2.432244614	255.15	16.31
2003-08-31	18.63	0.079166667	989.53	-2.207977208	252.16	16.45
2003-09-30	22.72	0.078333333	1019.44	6.127093955	253.36	16.59
2003-10-31	16.1	0.076666667	1038.73	-0.549026336	270.13	16.85666667
2003-11-30	16.32	0.0775	1049.9	3.476235659	268.94	17.12333333
2003-12-31	18.31	0.075	1080.64	4.99333111	281.54	17.39
2004-01-31	16.63	0.073333333	1132.52	-0.928940056	289.84	17.6
2004-02-29	14.55	0.0775	1143.36	0.120211572	297.12	17.81
2004-03-31	16.74	0.078333333	1123.98	-1.416793404	293.58	18.02
2004-04-30	17.19	0.078333333	1133.36	-2.728158493	279.35	18.21333333
2004-05-31	15.5	0.085	1102.78	1.736227045	284.11	18.40666667
2004-06-30	14.34	0.105833333	1132.76	0.098457499	284.94	18.6
2004-07-31	15.32	0.110833333	1105.85	-1.483606557	278.32	18.78666667
2004-08-31	15.29	0.123333333	1088.94	1.364506199	287.28	18.97333333
2004-09-30	13.34	0.1375	1117.66	2.076664204	284.25	19.16
2004-10-31	16.27	0.146666667	1117.21	2.910903828	284.88	19.25333333
2004-11-30	13.24	0.1725	1168.94	3.75839975	292.8	19.34666667
2004-12-31	13.29	0.1825	1199.21	2.070939077	304.72	19.44
2005-01-31	12.82	0.194166667	1181.41	-3.799616349	297.65	19.70333333
2005-02-28	12.08	0.211666667	1199.63	1.449497661	295.39	19.96666667
2005-03-31	14.02	0.228333333	1194.9	-1.995766556	283.5	20.23
2005-04-30	15.31	0.231666667	1164.43	-0.701943844	283.01	20.46333333
2005-05-31	13.29	0.236666667	1178.28	-4.420104094	290.32	20.69666667
2005-06-30	12.04	0.2475	1202.25	-1.592977893	293.84	20.93
2005-07-31	11.57	0.268333333	1222.24	0.123885035	297.68	21.11
2005-08-31	12.6	0.286666667	1224.27	1.839478677	291.7	21.29
2005-09-30	11.92	0.285	1225.92	-2.59193261	294.05	21.47
2005-10-31	15.32	0.309166667	1191.96	-0.282720772	302.81	21.72
2005-11-30	12.06	0.323333333	1237.37	-1.701134089	315.72	21.97
2005-12-31	12.07	0.324166667	1262.07	0.517475399	316.06	22.22
2006-01-31	12.95	0.353333333	1278.73	2.590935944	318.37	22.40666667
2006-02-28	12.34	0.369166667	1276.65	-1.933201711	324.03	22.59333333
2006-03-31	11.39	0.375833333	1293.74	1.652545927	324.25	22.78
2006-04-30	11.59	0.383333333	1302.17	4.266380591	337.42	23
2006-05-31	16.44	0.393333333	1290.01	1.385041551	324.14	23.22
2006-06-30	13.08	0.399166667	1253.17	-0.148321624	321.79	23.44
2006-07-31	14.95	0.4125	1260.24	-0.187631929	329.22	23.66
2006-08-31	12.31	0.413333333	1287.15	0.360303909	331.8	23.88
2006-09-30	11.98	0.400833333	1317.74	-1.084835714	345.29	24.1
2006-10-31	11.1	0.41	1363.38	0.694334859	353.11	24.36
2006-11-30	10.91	0.411666667	1388.64	3.761165961	353.91	24.62
2006-12-31	11.56	0.404166667	1416.42	-0.339827821	367.14	24.88
2007-01-31	10.42	0.415	1424.16	-1.250284155	369.73	25.08333333
2007-02-28	15.42	0.419166667	1444.8	1.511663597	357.59	25.28666667
2007-03-31	14.64	0.411666667	1406.95	0.944893794	354.52	25.49
2007-04-30	14.22	0.405833333	1463.64	2.201587539	368.61	25.71666667
2007-05-31	13.05	0.394166667	1511.14	-1.428780774	375.8	25.94333333
2007-06-30	16.23	0.384166667	1514.19	0.654129191	359.81	26.17
2007-07-31	23.52	0.401666667	1520.71	1.05605199	331.2	26.44
2007-08-31	23.38	0.35	1454.62	-0.394621456	335.38	26.71
2007-09-30	18	0.324166667	1497.12	4.673514307	342.08	26.98
2007-10-31	18.53	0.325	1539.66	1.542020046	335.26	27.23
2007-11-30	22.87	0.2725	1463.39	1.007800097	308.27	27.48
2007-12-31	22.5	0.25	1479.22	-0.300690221	290.62	27.73
2008-01-31	26.2	0.229166667	1378.76	1.864418397	288.86	27.92
2008-02-29	26.54	0.176666667	1354.87	2.139829083	255.85	28.11
2008-03-31	25.61	0.105	1316.94	4.012122011	247.99	28.3
2008-04-30	20.79	0.1075	1370.47	-1.051431467	263.72	28.43666667
2008-05-31	17.83	0.144166667	1403.22	-0.435283574	246.93	28.57333333
2008-06-30	23.95	0.155	1341.25	1.292272084	200.84	28.71
2008-07-31	22.94	0.135833333	1257.33	-0.964773088	214.51	28.75666667
2008-08-31	20.65	0.143333333	1281.47	-5.960392232	211.69	28.80333333
2008-09-30	39.39	0.094166667	1216.95	-3.959653786	200.64	28.85
2008-10-31	59.89	0.055833333	968.8	-9.693443088	155.02	28.69666667
2008-11-30	55.28	0.015833333	883.04	-0.275027503	125.97	28.54333333
2008-12-31	40	0.0025	877.56	10.08588764	125.11	28.39
2009-01-31	44.84	0.010833333	865.58	-8.28859781	91.9	28.01333333
2009-02-28	46.35	0.025	805.23	-1.123858581	74.98	27.63666667
2009-03-31	44.14	0.0175	757.13	4.585997316	88.22	27.26
2009-04-30	36.5	0.013333333	848.15	-0.150943396	107.77	26.70333333
2009-05-31	28.92	0.015	902.41	7.0143613	121.89	26.14666667
2009-06-30	26.35	0.015	926.12	-0.882893064	119.16	25.59
2009-07-31	25.92	0.015	935.82	1.59623744	129.63	25.02666667
2009-08-31	26.01	0.014166667	1009.73	0.540085572	146.3	24.46333333
2009-09-30	25.61	0.01	1044.55	2.134784429	149.12	23.9
2009-10-31	30.69	0.005833333	1067.66	0.539617486	140.12	23.40333333
2009-11-30	24.51	0.004166667	1088.07	1.943066784	146.04	22.90666667
2009-12-31	21.68	0.004166667	1110.38	-4.558480506	143.64	22.41
2010-01-31	24.62	0.005	1123.58	-3.198100691	141.51	22.24
2010-02-28	19.5	0.009166667	1089.16	-1.67351944	146.34	22.07
2010-03-31	17.59	0.0125	1152.05	-0.887682488	159.18	21.9
2010-04-30	22.05	0.013333333	1197.32	-1.598815692	161.25	21.94666667
2010-05-31	32.07	0.013333333	1125.06	-7.431924176	146.33	21.99333333
2010-06-30	34.54	0.01	1083.36	-0.552575979	137.6	22.04
2010-07-31	23.5	0.013333333	1079.8	6.65141363	146.7	22.14333333
2010-08-31	26.05	0.013333333	1087.28	-2.85013791	135.1	22.24666667
2010-09-30	23.7	0.0125	1122.08	7.523659306	143.19	22.35
2010-10-31	21.2	0.010833333	1171.58	2.29573126	145.15	22.47666667
2010-11-30	23.54	0.011666667	1198.89	-6.911880691	143.9	22.60333333
2010-12-31	17.75	0.011666667	1241.53	3.088654394	159.2	22.73
2011-01-31	19.53	0.0125	1282.62	2.316198446	163.59	22.96333333
2011-02-28	18.35	0.010833333	1321.12	0.817876442	168.1	23.19666667
2011-03-31	17.74	0.008333333	1304.49	2.549616109	163.6	23.43
2011-04-30	14.75	0.005	1331.51	4.583980788	163.44	23.73333333
2011-05-31	15.45	0.003333333	1338.31	-2.775714189	157.95	24.03666667
2011-06-30	16.52	0.003333333	1287.29	0.736315643	153.34	24.34
2011-07-31	25.25	0.003333333	1325.19	-0.717142463	147.64	24.62
2011-08-31	31.62	0.001666667	1185.31	-0.201416863	133.3	24.9
2011-09-30	42.96	0.000833333	1173.88	-6.834156865	117.9	25.18
2011-10-31	29.96	0.001666667	1207.22	3.518338687	134.59	25.59666667
2011-11-30	27.8	0.000833333	1226.42	-2.973011979	127.84	26.01333333
2011-12-31	23.4	0.000833333	1243.32	-3.607020675	129.89	26.43
2012-01-31	19.44	0.0025	1300.58	0.949000849	140.23	26.73666667
2012-02-29	18.43	0.0075	1352.49	1.84194436	147.02	27.04333333
2012-03-31	15.5	0.006666667	1389.24	0.135084428	157.77	27.35
2012-04-30	17.15	0.006666667	1386.43	-0.77943491	153.83	27.67333333
2012-05-31	24.06	0.0075	1341.27	-6.601707078	139.49	27.99666667
2012-06-30	17.08	0.0075	1323.48	2.442377679	146.3	28.32
2012-07-31	18.93	0.008333333	1359.78	-2.86571406	146.35	28.74333333
2012-08-31	17.47	0.008333333	1403.45	2.235045514	150.76	29.16666667
2012-09-30	15.73	0.009166667	1443.42	2.233881867	155.72	29.59
2012-10-31	18.6	0.008333333	1437.82	0.777604977	158.53	30.14333333
2012-11-30	15.87	0.0075	1394.51	0.200617284	156.84	30.69666667
2012-12-31	18.02	0.005833333	1422.29	1.594024334	163.99	31.25
2013-01-31	14.28	0.005833333	1480.4	2.925793982	173.46	31.53666667
2013-02-28	15.51	0.008333333	1512.31	-3.844171147	175.43	31.82333333
2013-03-31	12.7	0.0075	1550.83	-1.822777054	181.91	32.11
2013-04-30	13.52	0.005	1570.7	2.722521258	186.79	32.49666667
2013-05-31	16.3	0.003333333	1639.84	-1.283414338	197.76	32.88333333
2013-06-30	16.86	0.004166667	1618.77	0.084621894	194.25	33.27
2013-07-31	13.45	0.003333333	1668.68	2.244427364	204.5	33.64666667
2013-08-31	17.01	0.003333333	1670.09	-0.601413321	193.83	34.02333333
2013-09-30	16.6	0.001666667	1687.17	2.306761458	198.93	34.4
2013-10-31	13.75	0.004166667	1720.03	0.421379463	205.19	34.59666667
2013-11-30	13.7	0.005833333	1783.54	0.051531213	214.16	34.79333333
2013-12-31	13.72	0.005833333	1807.78	1.118387168	218.45	34.99
2014-01-31	18.41	0.003333333	1822.36	-1.870042931	210.31	35.40333333
2014-02-28	14	0.004166667	1817.04	2.343170696	216.5	35.81666667
2014-03-31	13.88	0.004166667	1863.52	-0.239095783	223.16	36.23
2014-04-30	13.41	0.0025	1864.26	0.711743772	219.5	36.61333333
2014-05-31	11.4	0.0025	1889.77	-1.673036706	222.21	36.99666667
2014-06-30	11.57	0.003333333	1947.09	0.418041804	227.27	37.38
2014-07-31	16.95	0.0025	1973.1	-2.205667543	223.74	37.75
2014-08-31	11.98	0.0025	1961.53	-1.926811053	232.75	38.12
2014-09-30	16.31	0.001666667	1993.23	-3.815108133	231.48	38.49
2014-10-31	14.03	0.001666667	1937.27	-0.83920513	238.09	38.80666667
2014-11-30	13.33	0.001666667	2044.57	-0.582834331	243.13	39.12333333
2014-12-31	19.2	0.0025	2054.27	-2.842916801	247.07	39.44
2015-01-31	20.97	0.0025	2028.18	-6.670524054	229.79	39.89666667
2015-02-28	13.34	0.001666667	2082.2	-0.841378089	242.77	40.35333333
2015-03-31	15.29	0.0025	2079.99	-4.153269025	240.87	40.81
2015-04-30	14.55	0.001666667	2094.86	4.594166434	241.05	41.12
2015-05-31	13.84	0.001666667	2111.94	-2.120456165	245	41.43
2015-06-30	18.23	0.001666667	2099.29	1.465501547	243.83	41.74
2015-07-31	12.12	0.0025	2094.14	-1.462276846	251.16	41.99666667
2015-08-31	28.43	0.005833333	2039.87	2.066642389	233.72	42.25333333
2015-09-30	24.5	0.001666667	1944.41	-0.303273571	226.32	42.51
2015-10-31	15.07	0.001666667	2024.81	-1.52992753	240.14	42.80333333
2015-11-30	16.13	0.01	2080.62	-4.006905324	244.22	43.09666667
2015-12-31	18.21	0.019166667	2054.08	2.811168954	238.48	43.39
2016-01-31	20.2	0.021666667	1918.6	-0.285398637	217.11	43.55333333
2016-02-29	20.55	0.025833333	1904.42	0.387775829	210.23	43.71666667
2016-03-31	13.95	0.024166667	2021.95	4.662926515	225.12	43.88
2016-04-30	15.7	0.019166667	2075.54	0.623901582	232.48	44.07333333
2016-05-31	14.19	0.0225	2065.55	-2.785782901	236.71	44.26666667
2016-06-30	15.63	0.0225	2083.89	-0.233560905	228.59	44.46
2016-07-31	11.87	0.025	2148.9	0.61228165	236.38	44.65
2016-08-31	13.42	0.025	2170.95	-0.143189547	244.82	44.84
2016-09-30	13.29	0.024166667	2157.69	0.690087829	237.8	45.03
2016-10-31	17.06	0.0275	2143.02	-2.260792167	242.94	45.25
2016-11-30	13.33	0.0375	2164.99	-3.569802386	276.14	45.48
2016-12-31	14.04	0.0425	2246.63	-0.679950892	286.51	45.7
2017-01-01	11.99	0.0425	2275.12	2.6718646	286.86	45.93
2017-02-28	12.92	0.043333333	2329.91	-2.055936284	301.23	46.15
2017-03-31	12.37	0.061666667	2366.82	0.718608169	292.48	46.38
2017-04-30	10.82	0.066666667	2359.31	2.281261735	289.65	46.66
2017-05-31	10.41	0.074166667	2395.35	3.203304268	285.57	46.94
2017-06-30	11.18	0.081666667	2433.99	1.618641053	303.61	47.22
2017-07-31	10.26	0.089166667	2454.1	3.640819184	308.48	47.54
2017-08-31	10.59	0.084166667	2456.22	0.574227326	302.76	47.85
2017-09-30	9.51	0.085833333	2492.84	-0.80604534	318.05	48.17
2017-10-31	10.18	0.089166667	2557	-1.422041646	327.01	48.42
2017-11-30	11.28	0.1025	2593.61	2.215352911	337.72	48.68
2017-12-31	11.04	0.11	2664.34	0.848454301	343.89	48.93
2018-01-31	13.54	0.1175	2789.80	3.406913786	365.77	49.29
2018-02-28	19.85	0.130833333	2705.16	-1.772192686	354.96	49.64
2018-03-31	19.97	0.141666667	2702.77	1.066098081	339.14	50.00
2018-04-30	15.93	0.146666667	2653.63	-1.996105161	337.53	50.33
2018-05-31	15.43	0.155	2701.49	-3.187613843	333.74	50.66
2018-06-30	16.09	0.158333333	2754.35	-0.076969127	327	50.99
2018-07-31	12.83	0.163333333	2793.64	0.059910989	343.82	51.44
2018-08-31	12.86	0.169166667	2857.82	-0.761269352	347.88	51.89
2018-09-30	12.12	0.1775	2901.50	0.017238407	339.62	52.34
2018-10-31	21.23	0.1875	2785.46	-2.516373664	323.07	52.81
2018-11-30	18.07	0.194166667	2723.23	0.044200849	331.39	53.28
2018-12-31	25.42	0.1975	2567.31	1.325439604	293.46	53.75
2019-01-31	16.57	0.1975	2607.39	-0.165692858	318.66	54.15
2019-02-28	14.78	0.199166667	2754.86	-0.672606569	325.6	54.54
2019-03-31	13.71	0.2	2803.98	-1.345528098	316.65	54.94
2019-04-30	13.12	0.198333333	2903.80	-0.026742735	344.64	55.32
2019-05-31	18.71	0.195833333	2854.71	-0.410164958	319.21	55.70
2019-06-30	15.08	0.180833333	2890.17	1.826484018	340.17	56.08
2019-07-31	16.12	0.175	2996.11	-2.611448167	347.98	56.46
2019-08-31	18.98	0.1625	2897.50	-0.848681835	330.34	56.84
2019-09-30	16.24	0.1575	2982.16	-0.755782189	345.08	57.22
